ICAO,IATA,Name,Country
RNX,1T,1Time Airline,South Africa
MLA,Q5,40-Mile Air,United States
AAA,AN,Ansett Australia,Australia
AAF,ZI,Aigle Azur,France
AAH,AQ,Aloha Airlines,United States
AAL,AA,American Airlines,United States
AAR,OZ,Asiana Airlines,Republic of Korea
AAS,4K,Askari Aviation,Pakistan
AAW,8U,Afriqiyah Airways,Libya
AAY,G4,Allegiant Air,United States
TUS,M3,ABSA - Aerolinhas Brasileiras,Brazil
ACP,8V,Astral Aviation,Kenya
ADE,ZY,Ada Air,Albania
ADR,JP,Adria Airways,Slovenia
AEA,UX,Air Europa,Spain
AEB,EM,Aero Benin,Benin
AEE,A3,Aegean Airlines,Greece
AEL,PE,Air Europe,Italy
AER,KO,Alaska Central Express,United States
AES,,ACES Colombia,Colombia
AEU,5W,Astraeus,United Kingdom
AEW,VV,Aerosvit Airlines,Ukraine
AEY,I9,Air Italy,Italy
UTY,QQ,Alliance Airlines,Australia
AFG,FG,Ariana Afghan Airlines,Afghanistan
AFL,SU,Aeroflot Russian Airlines,Russia
BON,JA,Air Bosna,Bosnia and Herzegovina
AFR,AF,Air France,France
ACI,SB,Air Caledonie International,France
SNC,2Q,Air Cargo Carriers,United States
NMB,SW,Air Namibia,Namibia
SLI,5D,Aerolitoral,Mexico
AGV,7T,Air Glaciers,Switzerland
AGX,,Aviogenex,Serbia
PLI,PL,Aeroper,Peru
BMM,8A,Atlas Blue,Morocco
AHY,J2,Azerbaijan Airlines,Azerbaijan
AIA,U3,Avies,Estonia
ABQ,ED,Airblue,Pakistan
AIR,,Airlift International,United States
BER,AB,Air Berlin,Germany
AIC,AI,Air India Limited,India
BUB,ZB,Air Bourbon,Reunion
ABD,CC,Air Atlanta Icelandic,Iceland
THT,TN,Air Tahiti Nui,France
AIZ,IZ,Arkia Israel Airlines,Israel
AJM,JM,Air Jamaica,Jamaica
ADH,AP,Air One,Italy
RSH,S2,Air Sahara,India
AMC,KM,Air Malta,Malta
AJX,NQ,Air Japan,Japan
AKA,,Air Korea Co. Ltd.,Republic of Korea
AKL,4A,Air Kiribati,Kiribati
AWE,HP,America West Airlines,United States
AWI,ZW,Air Wisconsin,United States
TAK,U9,Tatarstan Airlines,Russia
ALO,,Allegheny Commuter Airlines,United States
RSI,,Air Sunshine,United States
AML,QM,Air Malawi,Malawi
AMT,,ATA Airlines,United States
AMU,NX,Air Macau,Macao
AMV,,AMC Airlines,Egypt
SEY,HM,Air Seychelles,Seychelles
AMX,AM,AeroMéxico,Mexico
ANA,NH,All Nippon Airways,Japan
ANE,YW,Air Nostrum,Spain
ANG,PX,Air Niugini,Papua New Guinea
ABY,G9,Air Arabia,United Arab Emirates
ACA,AC,Air Canada,Canada
BTI,BT,Air Baltic,Latvia
ANK,EL,Air Nippon,Japan
ANO,TL,Airnorth,Australia
ANT,4N,Air North Charter - Canada,Canada
ANZ,NZ,Air New Zealand,New Zealand
SMX,XM,Alitalia Express,Italy
ARF,GV,Aero Flight,Germany
APW,JW,Arrow Air,United States
ARD,2B,Aerocondor,Portugal
ARE,4C,Aires,S.A.
ARG,AR,Aerolineas Argentinas,Argentina
ASA,AS,Alaska Airlines,ALASKA
ASD,4D,Air Sinai,Egypt
ASQ,EV,Atlantic Southeast Airlines,United States
ASZ,OB,Astrakhan Airlines,Russia
ATC,TC,Air Tanzania,Tanzania
VBW,2J,Air Burkina,Burkina Faso
